Id,Price
725,164963.47687255562
15856,212895.9988826992
5480,193053.28578427376
15664,378009.62204258994
14275,143337.12024020436
7633,203104.2397850415
13329,181893.6906340329
5502,215302.25858958194
4220,298775.2442037082
11538,213168.53707900018
15975,279804.750634876
3310,216379.3490406444
9286,145636.80787211753
11260,183907.4503745338
5214,103032.03922865774
11307,185736.74551718973
13543,388741.3700918694
615,176846.96122140798
3495,219094.59850660802
2321,245112.58825302834
12046,184083.14603611192
16688,145103.5361917223
12694,215969.72960113478
783,151310.66573402006
8968,175936.68550721408
13454,182014.64777016628
12190,265069.2088665099
11160,106825.36165615244
10291,193461.58460435166
891,280439.8256640777
2982,179158.27828815224
3818,244224.92710741583
2449,185337.7191930095
8317,167047.79580166333
4922,176525.01306459337
1257,240665.7962192333
9348,212930.12324792144
4176,187134.89176712895
10704,157985.80212793878
6624,107198.7339100439
5428,189880.04135396995
12749,171175.6554254038
8994,186390.52261395767
11513,140123.10531431495
3047,189367.81442228882
9519,210748.18941127084
12309,243262.03594342116
14081,275897.6821240795
8334,234765.68303672053
6343,177687.94099835661
14788,132660.54216613024
15748,438567.83884719864
153,244975.7624028088
14149,185202.02742736603
269,187024.8096119269
5452,138812.43206868143
721,161588.08051888656
5079,331936.32397100347
2831,127710.66938980587
10614,109478.85994408294
10131,248680.48021616056
9996,346107.32555105136
3061,187717.11040446986
11733,336742.1142736316
3726,237754.32947799776
10929,214628.20815247734
9011,355692.1382917877
16182,258118.51790929548
4976,192031.29358681553
9897,226448.08743997023
1872,154534.65715565142
9205,376203.3432426089
5403,380417.6317720037
14074,210425.36038782212
6268,143256.1873891177
14232,171168.33200467387
8532,255532.6325805928
7034,335621.61856447003
6553,465568.21652949415
3133,178971.87552627933
8596,207812.94970538656
12389,257024.92412859655
14462,178670.06912017864
8860,333421.4120052684
8377,281647.0885318933
6367,345771.47122000775
6917,236535.13644629077
4216,198358.88414300766
5806,178292.90674656938
5438,194418.63661886277
6632,201695.71470676034
2650,161389.69885202777
5396,226306.21738305196
4044,149188.12995940592
1345,220442.24574446972
856,182482.63655687045
12791,257094.6386097286
12499,214063.93866310085
12249,129992.19051988471
14641,142610.66371647653
1919,163403.9508772963
7848,176512.70980190503
10749,182802.52451466836
15554,182470.39720848127
15834,213138.96494445193
1355,127321.56047580333
15451,177155.31344287354
12401,208718.2132020892
10290,171552.68927986312
9462,123494.21873259729
3103,224885.35039441008
3420,126740.26990487213
12262,229642.28336098325
5032,151918.55422532547
8949,305882.7467364619
15567,235175.74461115894
16389,165142.04891418654
7809,88703.01440116079
8990,152062.5353584534
16089,270622.046128545
